,x,y,clay1,clay2,clay3,clay4,valsSlope,valsDem
11849,NA,NA,NA,NA,NA,NA,NA,NA
11850,NA,NA,NA,NA,NA,NA,NA,NA
11851,NA,NA,NA,NA,NA,NA,NA,NA
11852,NA,NA,NA,NA,NA,NA,NA,NA
11853,NA,NA,NA,NA,NA,NA,NA,NA
11854,NA,NA,NA,NA,NA,NA,NA,NA
11855,NA,NA,NA,NA,NA,NA,NA,NA
11856,NA,NA,NA,NA,NA,NA,NA,NA
11857,NA,NA,NA,NA,NA,NA,NA,NA
11858,NA,NA,NA,NA,NA,NA,NA,NA
11859,NA,NA,NA,NA,NA,NA,NA,NA
11860,NA,NA,NA,NA,NA,NA,NA,NA
11861,NA,NA,NA,NA,NA,NA,NA,NA
11862,NA,NA,NA,NA,NA,NA,NA,NA
11863,NA,NA,NA,NA,NA,NA,NA,NA
11864,NA,NA,NA,NA,NA,NA,NA,NA
11865,NA,NA,NA,NA,NA,NA,NA,NA
11866,NA,NA,NA,NA,NA,NA,NA,NA
11867,NA,NA,NA,NA,NA,NA,NA,NA
11868,NA,NA,NA,NA,NA,NA,NA,NA
11869,NA,NA,NA,NA,NA,NA,NA,NA
11870,NA,NA,NA,NA,NA,NA,NA,NA
11871,NA,NA,NA,NA,NA,NA,NA,NA
11872,NA,NA,NA,NA,NA,NA,NA,NA
11873,NA,NA,NA,NA,NA,NA,NA,NA
11874,NA,NA,NA,NA,NA,NA,NA,NA
11875,NA,NA,NA,NA,NA,NA,NA,NA
11876,NA,NA,NA,NA,NA,NA,NA,NA
11877,NA,NA,NA,NA,NA,NA,NA,NA
11878,NA,NA,NA,NA,NA,NA,NA,NA
11879,NA,NA,NA,NA,NA,NA,NA,NA
11880,NA,NA,NA,NA,NA,NA,NA,NA
11881,NA,NA,NA,NA,NA,NA,NA,NA
11882,NA,NA,NA,NA,NA,NA,NA,NA
11883,NA,NA,NA,NA,NA,NA,NA,NA
11884,NA,NA,NA,NA,NA,NA,NA,NA
11885,NA,NA,NA,NA,NA,NA,NA,NA
11886,NA,NA,NA,NA,NA,NA,NA,NA
